"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2022","476.000","473.050","479.860","470.660","","0.70%"
"08/01/2022","472.690","477.160","480.860","458.860","","-0.88%"
"07/01/2022","476.890","470.360","486.730","461.860","","1.47%"
"06/01/2022","470.000","425.350","474.360","419.250","","10.57%"
"05/01/2022","425.080","443.350","445.350","411.850","","-4.06%"
"04/01/2022","443.080","470.860","476.860","440.850","","-5.69%"
"03/01/2022","469.790","490.115","527.125","456.660","","-3.75%"
"02/01/2022","488.090","434.700","502.615","424.900","","12.38%"
"01/01/2022","434.330","435.000","437.150","433.460","","-0.11%"
"12/01/2021","434.830","438.450","441.500","431.650","","-1.11%"
"11/01/2021","439.730","427.650","440.840","427.250","","2.91%"
"10/01/2021","427.280","426.200","428.390","423.985","","0.34%"
"09/01/2021","425.830","426.255","427.390","423.835","","-0.05%"
"08/01/2021","426.030","425.545","428.150","423.460","","0.20%"
"07/01/2021","425.180","426.755","431.340","424.195","","-0.44%"
"06/01/2021","427.080","427.755","429.295","425.645","","-0.20%"
"05/01/2021","427.940","430.105","430.105","425.855","","-0.47%"
"04/01/2021","429.940","425.705","434.325","425.705","","1.03%"
"03/01/2021","425.540","417.940","426.150","417.440","","1.86%"
"02/01/2021","417.770","423.440","425.230","414.245","","-1.42%"
"01/01/2021","423.770","421.440","425.140","418.125","","0.59%"
"12/01/2020","421.270","425.690","426.090","417.440","","-1.00%"
"11/01/2020","425.520","432.945","436.040","422.440","","-1.68%"
"10/01/2020","432.780","432.845","433.740","427.040","","0.02%"
"09/01/2020","432.680","420.240","433.465","417.825","","3.00%"
"08/01/2020","420.070","421.780","424.435","417.685","","-0.32%"
"07/01/2020","421.420","405.255","422.100","405.255","","3.86%"
"06/01/2020","405.770","411.355","411.355","395.255","","-1.46%"
"05/01/2020","411.770","427.460","428.460","411.350","","-3.26%"
"04/01/2020","425.630","448.625","449.870","424.130","","-5.02%"
"03/01/2020","448.110","382.025","466.635","379.010","","17.32%"
